n,subjectCN_count,count
25649547366484458766689724823855363914088546916637214513826021499070337991273487626685377463190957454595341540640535705191327614619076100442864531606950860121664547998809065071376313033800664277191653109673289213243216065803949905156878088464175795322064373650211442597857613228454851633834230579555978670906780726332646209264734112706852899777717445115020755419764125359464402713090970563901785818428807938009256636104135319144338782833031555769408507825176966187164673748288254990961470946324227759774429504897054844312458167464495492804561924714692436545778956156130374308745068924932725293167134136186880475817293,3,3
26154076936527890485845017908816224060128471396918029553315563910585319129545040497239304606227109942940884422056022129763863119437095292787060763906008959054210291719545824159455584791298650820884360698950992957660689119608647714474032529052362082397927317166239484221099318093900221994802679720530681295493968417464786558610144132897724259973761347095570723795069703576991617660026820581982883708594474222336505362172942483271907554384058608340941838515534909968475575167439078523700174600984600582965061697582094712664147386215293178449964219057267542590133464207657582424700723510204321424311977002012144459001687,2,2
25553871893093786905493847968151091639513946986194651059560706130782266932478924324406769576405932643270518329260913892380777364012354595102092729268277806498790920552063599338793743968298634951613129854977371899107302673284947956716313546418609147021251368673124367111631395034290377827050969471001180633479414407116798086879451212705271446585646748169188446717754641376389258367796600909316673520325921715578435299067335907678294559631356145419932161472792549205746747908419882743599961739752070848454015450930348842411272317511588123676525520273802286520934612721484893968927623265904251111454563507352824100166317,2,2
29265619467973075982436832548261293752379282001224922507994461197054334168858185115757023966607176911571382759234632926865830234350294151317116228495347264140001339826596531212707825500340725479447701756216477949039567861675022884335923866069506196590716404778168976964817505812128247152405926272897545943348946928820086846817535855633671712985545818400323116760943613256842758641369537381274319211706306117755017432278650515870940680762442348978470856050536745755728883451815535010426969292154486671558327283686284955498458081234208103832793217651023290522253568709623495665709979834047511033524752369082148009880061,2,2
25624311593373898925231743267951267392595168723971677951317481309920369444229089313378045141639378909712892772896663912585012078383333793040468350139421929499308048558860358445704806838429540624353222674005516870996235790519097269683254388240154904077080697604361749078717672731485818620941170888232812722439622567364458943383377718351088017300656303198372869230517948691733618775350529520762079836325535299562850895846110536667730650228585483699430259109605105473936862019520944291681379802474170824347109676059691706693490390157553791464459158130585086896927628831776730211297539898040052391148809349948510696541363,2,2
29762910891396275344333859587273718174884245517002730475255912324906561419126915439557134374054581095798792921245792042477893719799514335202932841679160369274894583550799604956137982301452369237981954733203506776072623422329149310132149218422360685819121598649122835524873722838507524515980528481197618715916672544996620436570981974364911528533562917507959878405797840061354555900130706642421442594908541034650471040273243223768676534432914314966841274146082289038400022253714471727209539590511276289590189843960321148973879127651814490309501459532377365647391067104194212141870595014705281748001050360583575247716669,2,2
837691506037602504011199285045160909093094105567086459366012374953822481833355770430237048156701757558565672372730134957378655848743709777649342701160153321978806478806819998138502938992270420550066336610849933140746701252502468495368610914524341476857187376661858116516319634977184493339576349216519503613975590671000536319153918872768971025737988824255165701894833245917383177233330273409332216644775593873288958021633300612579013490019556359026302067309511717161821844226087836523198196528533672357739301004409187238873342065837925723608062230697719626558424143615768111005487868318169451060665038300217349465985441233505386418637693935630310547976172634396677071130240569993932029021568193998034553788056775989232196918846226983796867234518517869782414209954679975453508078546521320211478432426175578615775110505269020677828674204669498832448388799404981691689479481853176570228398845641068656601916380866657860698687301091834090965059395637975307063096613094612179299087489181583647735721381258227929034401949219506541778647436651435312463841915942428482616883617068104262897926496094885017319829985770161150138040947426514975838915416036757257116132836722345534409740354891158048774581678422194997443396580470837483757652509297,2,2
29851684437598602901012123195959168532828999695045255460125987459326545129075866310875292589223678909693459389626083223307325058538088953463059270763976350671315590189890102751248298880111008784178412522365031713576257573205490846635536550458629990455072830184541478147897452955554740235446528322679647937809455448530674599598314894775826517293657365239834347280471356180325376746993879597693803019551593682016317982831314848628255144757910152501054709901800670507847842489847734993839380269320131446204244960773095476134955895771231459842359949569087798694549759708649601652657400291910108663794936946258965823681697,2,2
841262099033119623884848081989010521617789773736649995774903623321785576060429026580259600151032106875275659830025094307735034390057910254794614760216229510840448746071154517873197202821563228345653805934341008225606315567036820947614176392972250565498165850611674111884728777179636572189617072134731690770808493364928790487105195823654673754209751261377987858249066119014107951403596688448361188916845087781356415843315435040930787372089504347652428103334673817681919127966984457631485985453092063531606106143029030382155543500560126574220264854419333553356660169521240788927332333062170623764901579844965082632708093388752109663738076887214099565921124822729024471983492836128328425258204661895652013249038551904822171195188766077005489365784644734162396738112354577697864374904278667509645084208782371092458697852887307003462530876646660530000439273895942667639815234133173432414026806169123753054781626688321986366134574944685521963450337378036635741654137484040287463702457131889928862651122994006086587522307565867132690086741843045940548154352367940332426137284151314946970047678191313545438976722292307274164555203512860603482411285749263981511127332247038804967724015313197237792723064166599453004328673572085887108312651053,2,2
30089200775629006942849757256821023117247526762791267166758428420093127985526691037763704364256555545635620977839694041333003065131452791241792509056860097097576281106375657449115305798514273893777733866957479787121740162236680763989569369358192730424930477560341176217419166654457683291545845230811153669336612832962798313495831099367953803958032640577872520834585340886193539606306135519027065073105222566119164117346924326129129439603141426955206874110705799380112311060165196093158103290419072643814323379688401654336695983478970458551171415428959485843501796968995422458676857220830257236809152709932492441877773,2,2
